model,case_id,domain,context_length,actual_context_length,depth,seed,answer,policy,policy_type,key_bits,value_bits,protected_key_bits,protected_layers,residual_window,found,status,response_excerpt,topk_k,kv_saving,runtime_s,tok_per_s,peak_gpu_gb
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,qwen25_14b_instruct_tbgmp_top1_keys,tbgmp_top1,2.0,2.0,6.0,[0],128.0,True,completed,AURORA-7749,1,83.6231,3.127,2.8782,29.6799
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,qwen25_14b_instruct_tbgmp_top2_keys,tbgmp_top2,2.0,2.0,6.0,"[0, 46]",128.0,True,completed,AURORA-7749,2,83.2447,3.369,2.6715,30.5366
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,qwen25_14b_instruct_tbgmp_top3_keys,tbgmp_top3,2.0,2.0,6.0,"[0, 46, 2]",128.0,True,completed,AURORA-7749,3,82.8663,4.3365,2.0754,30.5398
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,qwen25_14b_instruct_tbgmp_top4_keys,tbgmp_top4,2.0,2.0,6.0,"[0, 46, 2, 47]",128.0,True,completed,AURORA-7749,4,82.488,4.6062,1.9539,30.5603
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,qwen25_14b_instruct_tbgmp_top5_keys,tbgmp_top5,2.0,2.0,6.0,"[0, 46, 2, 47, 30]",128.0,True,completed,AURORA-7749,5,82.1096,4.2825,2.1016,30.5631
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,qwen25_14b_instruct_tbgmp_top6_keys,tbgmp_top6,2.0,2.0,6.0,"[0, 46, 2, 47, 30, 13]",128.0,True,completed,AURORA-7749,6,81.7312,5.3496,1.6824,30.566
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,qwen25_14b_instruct_tbgmp_top7_keys,tbgmp_top7,2.0,2.0,6.0,"[0, 46, 2, 47, 30, 13, 43]",128.0,True,completed,AURORA-7749,7,81.3528,6.3392,1.4197,30.569
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,qwen25_14b_instruct_tbgmp_top8_keys,tbgmp_top8,2.0,2.0,6.0,"[0, 46, 2, 47, 30, 13, 43, 11]",128.0,True,completed,AURORA-7749,8,80.9744,5.4183,1.661,30.5716
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,qwen25_14b_instruct_tbgmp_top9_keys,tbgmp_top9,2.0,2.0,6.0,"[0, 46, 2, 47, 30, 13, 43, 11, 4]",128.0,True,completed,AURORA-7749,9,80.596,6.9123,1.302,30.5752
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,qwen25_14b_instruct_tbgmp_top10_keys,tbgmp_top10,2.0,2.0,6.0,"[0, 46, 2, 47, 30, 13, 43, 11, 4, 45]",128.0,True,completed,AURORA-7749,10,80.2176,6.3416,1.4192,30.578
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,qwen25_14b_instruct_tbgmp_top11_keys,tbgmp_top11,2.0,2.0,6.0,"[0, 46, 2, 47, 30, 13, 43, 11, 4, 45, 15]",128.0,True,completed,AURORA-7749,11,79.8393,6.0501,1.4876,30.5806
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,qwen25_14b_instruct_tbgmp_top12_keys,tbgmp_top12,2.0,2.0,6.0,"[0, 46, 2, 47, 30, 13, 43, 11, 4, 45, 15, 21]",128.0,True,completed,AURORA-7749,12,79.4609,7.5991,1.1843,30.5834
Qwen2.5-14B,math_ctx4096_d90_s0,math,4096,4086,90,0,AURORA-7749,qwen25_14b_instruct_tbgmp_top1_keys,tbgmp_top1,2.0,2.0,6.0,[0],128.0,True,completed,AURORA-7749,1,83.6238,3.4503,2.6085,29.68
Qwen2.5-14B,math_ctx4096_d90_s0,math,4096,4086,90,0,AURORA-7749,qwen25_14b_instruct_tbgmp_top2_keys,tbgmp_top2,2.0,2.0,6.0,"[0, 46]",128.0,True,completed,AURORA-7749,2,83.2454,3.6749,2.449,30.5368
