model,case_id,domain,context_length,actual_context_length,depth,seed,answer,policy,policy_type,key_bits,value_bits,protected_key_bits,protected_layers,residual_window,found,status,response_excerpt,topk_k,kv_saving,runtime_s,tok_per_s,peak_gpu_gb
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,qwen25_14b_instruct_tbgmp_random1_keys_seed0,random1,2.0,2.0,6.0,[24],128.0,True,completed,AURORA-7749,,83.6231,3.7372,2.4082,30.1433
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,qwen25_14b_instruct_tbgmp_random1_keys_seed1,random1,2.0,2.0,6.0,[8],128.0,True,completed,AURORA-7749,,83.6231,3.2126,2.8015,29.8599
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,qwen25_14b_instruct_tbgmp_random1_keys_seed2,random1,2.0,2.0,6.0,[3],128.0,True,completed,AURORA-7749,,83.6231,3.4672,2.5958,29.7718
Qwen2.5-14B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,qwen25_14b_instruct_tbgmp_bottom1_keys,bottom1,2.0,2.0,6.0,[1],128.0,True,completed,AURORA-7749,,83.6231,3.1478,2.8591,29.7357
Qwen2.5-14B,math_ctx4096_d90_s0,math,4096,4086,90,0,AURORA-7749,qwen25_14b_instruct_tbgmp_random1_keys_seed0,random1,2.0,2.0,6.0,[24],128.0,True,completed,AURORA-7749,,83.6238,2.9216,3.0805,30.1434
Qwen2.5-14B,math_ctx4096_d90_s0,math,4096,4086,90,0,AURORA-7749,qwen25_14b_instruct_tbgmp_random1_keys_seed1,random1,2.0,2.0,6.0,[8],128.0,False,completed,AURORA7749,,83.6238,2.9729,2.691,29.86
Qwen2.5-14B,math_ctx4096_d90_s0,math,4096,4086,90,0,AURORA-7749,qwen25_14b_instruct_tbgmp_random1_keys_seed2,random1,2.0,2.0,6.0,[3],128.0,False,completed,Aurora,,83.6238,2.3856,1.6767,29.7718
Qwen2.5-14B,math_ctx4096_d90_s0,math,4096,4086,90,0,AURORA-7749,qwen25_14b_instruct_tbgmp_bottom1_keys,bottom1,2.0,2.0,6.0,[1],128.0,True,completed,AURORA-7749,,83.6238,3.2208,2.7943,29.7357
Qwen2.5-14B,math_ctx8192_d90_s1,math,8192,8181,90,1,NEBULA-3186,qwen25_14b_instruct_tbgmp_random3_keys_seed0,random3,2.0,2.0,6.0,"[2, 24, 26]",128.0,False,completed,NEbULA,,84.2084,3.5956,1.1125,32.9213
Qwen2.5-14B,math_ctx8192_d90_s1,math,8192,8181,90,1,NEBULA-3186,qwen25_14b_instruct_tbgmp_random3_keys_seed1,random3,2.0,2.0,6.0,"[4, 8, 36]",128.0,True,completed,NEBULA-3186,,84.2084,4.4891,2.0048,33.2771
