model,case_id,topk_k,protected_layers,kv_saving
Qwen3-4B,code_ctx4096_d10_s0,1,[0],83.483
Qwen3-4B,code_ctx4096_d10_s1,1,[0],83.4817
Qwen3-4B,code_ctx4096_d50_s0,1,[0],83.483
Qwen3-4B,code_ctx4096_d50_s1,1,[0],83.483
Qwen3-4B,code_ctx4096_d90_s0,1,[0],77.5974
Qwen3-4B,code_ctx4096_d90_s1,1,[0],83.4817
Qwen3-4B,code_ctx6144_d10_s0,1,[0],84.3927
Qwen3-4B,code_ctx6144_d10_s1,1,[0],84.3927
Qwen3-4B,code_ctx6144_d50_s0,1,[0],84.3927
Qwen3-4B,code_ctx6144_d50_s1,1,[0],84.3927
Qwen3-4B,code_ctx6144_d90_s0,2,"[0, 8]",83.8825
Qwen3-4B,code_ctx6144_d90_s1,1,[0],84.3924
Qwen3-4B,code_ctx8192_d10_s0,2,"[0, 8]",84.3331
Qwen3-4B,code_ctx8192_d10_s1,1,[0],84.8456
Qwen3-4B,code_ctx8192_d50_s0,1,[0],84.8458
Qwen3-4B,code_ctx8192_d50_s1,1,[0],84.8456
Qwen3-4B,code_ctx8192_d90_s0,1,[0],84.8456
Qwen3-4B,code_ctx8192_d90_s1,1,[0],84.8458
Qwen3-4B,literature_ctx4096_d10_s0,1,[0],83.4824
Qwen3-4B,literature_ctx4096_d10_s1,1,[0],83.483
Qwen3-4B,literature_ctx4096_d50_s0,1,[0],83.4817
Qwen3-4B,literature_ctx4096_d50_s1,1,[0],83.483
Qwen3-4B,literature_ctx4096_d90_s0,1,[0],83.483
Qwen3-4B,literature_ctx4096_d90_s1,1,[0],83.483
Qwen3-4B,literature_ctx6144_d10_s0,1,[0],84.3927
Qwen3-4B,literature_ctx6144_d10_s1,1,[0],84.3927
Qwen3-4B,literature_ctx6144_d50_s0,1,[0],84.3927
Qwen3-4B,literature_ctx6144_d50_s1,1,[0],84.3927
Qwen3-4B,literature_ctx6144_d90_s0,1,[0],84.3921
Qwen3-4B,literature_ctx6144_d90_s1,1,[0],84.3924
Qwen3-4B,literature_ctx8192_d10_s0,2,"[0, 8]",84.3331
Qwen3-4B,literature_ctx8192_d10_s1,1,[0],84.8458
Qwen3-4B,literature_ctx8192_d50_s0,1,[0],84.8458
Qwen3-4B,literature_ctx8192_d50_s1,1,[0],84.8456
Qwen3-4B,literature_ctx8192_d90_s0,1,[0],84.8458
Qwen3-4B,literature_ctx8192_d90_s1,1,[0],84.8458
Qwen3-4B,math_ctx4096_d10_s0,1,[0],83.483
Qwen3-4B,math_ctx4096_d10_s1,1,[0],83.4824
Qwen3-4B,math_ctx4096_d50_s0,2,"[0, 8]",82.9779
Qwen3-4B,math_ctx4096_d50_s1,1,[0],83.4824
Qwen3-4B,math_ctx4096_d90_s0,1,[0],77.598
Qwen3-4B,math_ctx4096_d90_s1,1,[0],83.483
Qwen3-4B,math_ctx6144_d10_s0,2,"[0, 8]",83.8825
Qwen3-4B,math_ctx6144_d10_s1,1,[0],84.3924
Qwen3-4B,math_ctx6144_d50_s0,2,"[0, 8]",83.8825
Qwen3-4B,math_ctx6144_d50_s1,1,[0],84.3927
Qwen3-4B,math_ctx6144_d90_s0,2,"[0, 8]",83.8828
Qwen3-4B,math_ctx6144_d90_s1,1,[0],84.3924
Qwen3-4B,math_ctx8192_d10_s0,3,"[0, 8, 1]",83.8205
Qwen3-4B,math_ctx8192_d10_s1,2,"[0, 8]",84.333
Qwen3-4B,math_ctx8192_d50_s0,3,"[0, 8, 1]",83.8205
Qwen3-4B,math_ctx8192_d50_s1,2,"[0, 8]",84.333
Qwen3-4B,math_ctx8192_d90_s0,3,"[0, 8, 1]",83.8201
Qwen3-4B,math_ctx8192_d90_s1,1,[0],84.8456
Qwen3-4B,science_ctx4096_d10_s0,1,[0],83.483
Qwen3-4B,science_ctx4096_d10_s1,1,[0],83.4824
Qwen3-4B,science_ctx4096_d50_s0,1,[0],77.598
Qwen3-4B,science_ctx4096_d50_s1,1,[0],83.4824
Qwen3-4B,science_ctx4096_d90_s0,1,[0],77.598
Qwen3-4B,science_ctx4096_d90_s1,1,[0],83.4824
Qwen3-4B,science_ctx6144_d10_s0,1,[0],84.3927
Qwen3-4B,science_ctx6144_d10_s1,1,[0],84.3927
Qwen3-4B,science_ctx6144_d50_s0,1,[0],84.3927
Qwen3-4B,science_ctx6144_d50_s1,1,[0],84.3924
Qwen3-4B,science_ctx6144_d90_s0,1,[0],84.3927
Qwen3-4B,science_ctx6144_d90_s1,2,"[0, 8]",83.8828
Qwen3-4B,science_ctx8192_d10_s0,1,[0],84.8458
Qwen3-4B,science_ctx8192_d10_s1,2,"[0, 8]",84.3331
Qwen3-4B,science_ctx8192_d50_s0,2,"[0, 8]",84.3331
Qwen3-4B,science_ctx8192_d50_s1,2,"[0, 8]",84.3331
Qwen3-4B,science_ctx8192_d90_s0,2,"[0, 8]",84.3331
Qwen3-4B,science_ctx8192_d90_s1,2,"[0, 8]",84.3331
