model,case_id,domain,context_length,actual_context_length,depth,seed,answer,policy,policy_type,key_bits,value_bits,protected_key_bits,protected_layers,residual_window,found,status,response_excerpt,topk_k,kv_saving,runtime_s,tok_per_s,peak_gpu_gb
Qwen3-4B,code_ctx4096_d10_s0,code,4096,4064,10,0,AURORA-7749,T-BGMP Top1,tbgmp,2,2,6,[0],128,True,completed,AURORA-7749,1,83.483,2.138,4.2095,4.6041
Qwen3-4B,code_ctx4096_d10_s0,code,4096,4064,10,0,AURORA-7749,T-BGMP Top2,tbgmp,2,2,6,"[0, 8]",128,True,completed,AURORA-7749,2,82.9786,2.3839,3.7753,4.7681
Qwen3-4B,code_ctx4096_d10_s0,code,4096,4064,10,0,AURORA-7749,T-BGMP Top3,tbgmp,2,2,6,"[0, 8, 1]",128,True,completed,AURORA-7749,3,82.4742,2.6343,3.4165,4.7717
Qwen3-4B,code_ctx4096_d10_s0,code,4096,4064,10,0,AURORA-7749,T-BGMP Top4,tbgmp,2,2,6,"[0, 8, 1, 5]",128,True,completed,AURORA-7749,4,81.9697,2.8666,3.1396,4.7746
Qwen3-4B,code_ctx4096_d10_s0,code,4096,4064,10,0,AURORA-7749,T-BGMP Top5,tbgmp,2,2,6,"[0, 8, 1, 5, 4]",128,True,completed,AURORA-7749,5,81.4653,3.1139,2.8902,4.7775
Qwen3-4B,code_ctx4096_d10_s0,code,4096,4064,10,0,AURORA-7749,T-BGMP Top6,tbgmp,2,2,6,"[0, 8, 1, 5, 4, 6]",128,True,completed,AURORA-7749,6,80.9609,3.3524,2.6847,4.7805
Qwen3-4B,code_ctx4096_d10_s0,code,4096,4064,10,0,AURORA-7749,T-BGMP Top7,tbgmp,2,2,6,"[0, 8, 1, 5, 4, 6, 10]",128,True,completed,AURORA-7749,7,80.4564,3.5894,2.5074,4.8177
Qwen3-4B,code_ctx4096_d10_s0,code,4096,4064,10,0,AURORA-7749,T-BGMP Top8,tbgmp,2,2,6,"[0, 8, 1, 5, 4, 6, 10, 35]",128,True,completed,AURORA-7749,8,79.952,3.8337,2.3476,5.2619
Qwen3-4B,code_ctx4096_d10_s0,code,4096,4064,10,0,AURORA-7749,T-BGMP Top9,tbgmp,2,2,6,"[0, 8, 1, 5, 4, 6, 10, 35, 11]",128,True,completed,AURORA-7749,9,79.4476,4.0863,2.2025,5.2649
Qwen3-4B,code_ctx4096_d10_s0,code,4096,4064,10,0,AURORA-7749,T-BGMP Top10,tbgmp,2,2,6,"[0, 8, 1, 5, 4, 6, 10, 35, 11, 12]",128,True,completed,AURORA-7749,10,78.9432,4.3098,2.0883,5.2678
Qwen3-4B,code_ctx4096_d10_s0,code,4096,4064,10,0,AURORA-7749,T-BGMP Top11,tbgmp,2,2,6,"[0, 8, 1, 5, 4, 6, 10, 35, 11, 12, 2]",128,True,completed,AURORA-7749,11,78.4387,4.5626,1.9726,5.27
Qwen3-4B,code_ctx4096_d10_s0,code,4096,4064,10,0,AURORA-7749,T-BGMP Top12,tbgmp,2,2,6,"[0, 8, 1, 5, 4, 6, 10, 35, 11, 12, 2, 14]",128,True,completed,AURORA-7749,12,77.9343,4.7903,1.8788,5.273
Qwen3-4B,code_ctx4096_d10_s1,code,4096,4062,10,1,NEBULA-3186,T-BGMP Top1,tbgmp,2,2,6,[0],128,True,completed,NEBULA-3186,1,83.4817,2.1356,4.2143,4.6041
Qwen3-4B,code_ctx4096_d10_s1,code,4096,4062,10,1,NEBULA-3186,T-BGMP Top2,tbgmp,2,2,6,"[0, 8]",128,True,completed,NEBULA-3186,2,82.9773,2.3788,3.7833,4.767
Qwen3-4B,code_ctx4096_d10_s1,code,4096,4062,10,1,NEBULA-3186,T-BGMP Top3,tbgmp,2,2,6,"[0, 8, 1]",128,True,completed,NEBULA-3186,3,82.4728,2.6268,3.4263,4.7706
Qwen3-4B,code_ctx4096_d10_s1,code,4096,4062,10,1,NEBULA-3186,T-BGMP Top4,tbgmp,2,2,6,"[0, 8, 1, 5]",128,True,completed,NEBULA-3186,4,81.9684,2.8665,3.1397,4.7735
Qwen3-4B,code_ctx4096_d10_s1,code,4096,4062,10,1,NEBULA-3186,T-BGMP Top5,tbgmp,2,2,6,"[0, 8, 1, 5, 4]",128,True,completed,NEBULA-3186,5,81.464,3.1074,2.8963,4.7765
Qwen3-4B,code_ctx4096_d10_s1,code,4096,4062,10,1,NEBULA-3186,T-BGMP Top6,tbgmp,2,2,6,"[0, 8, 1, 5, 4, 6]",128,True,completed,NEBULA-3186,6,80.9596,3.3494,2.6871,4.7794
Qwen3-4B,code_ctx4096_d10_s1,code,4096,4062,10,1,NEBULA-3186,T-BGMP Top7,tbgmp,2,2,6,"[0, 8, 1, 5, 4, 6, 10]",128,True,completed,NEBULA-3186,7,80.4552,3.5848,2.5106,4.8166
Qwen3-4B,code_ctx4096_d10_s1,code,4096,4062,10,1,NEBULA-3186,T-BGMP Top8,tbgmp,2,2,6,"[0, 8, 1, 5, 4, 6, 10, 35]",128,True,completed,NEBULA-3186,8,79.9507,3.8549,2.3347,5.2607
Qwen3-4B,code_ctx4096_d10_s1,code,4096,4062,10,1,NEBULA-3186,T-BGMP Top9,tbgmp,2,2,6,"[0, 8, 1, 5, 4, 6, 10, 35, 11]",128,True,completed,NEBULA-3186,9,79.4463,4.0755,2.2083,5.2636
Qwen3-4B,code_ctx4096_d10_s1,code,4096,4062,10,1,NEBULA-3186,T-BGMP Top10,tbgmp,2,2,6,"[0, 8, 1, 5, 4, 6, 10, 35, 11, 12]",128,True,completed,NEBULA-3186,10,78.9419,4.3248,2.081,5.2665
Qwen3-4B,code_ctx4096_d10_s1,code,4096,4062,10,1,NEBULA-3186,T-BGMP Top11,tbgmp,2,2,6,"[0, 8, 1, 5, 4, 6, 10, 35, 11, 12, 2]",128,True,completed,NEBULA-3186,11,78.4375,4.5485,1.9787,5.2688
Qwen3-4B,code_ctx4096_d10_s1,code,4096,4062,10,1,NEBULA-3186,T-BGMP Top12,tbgmp,2,2,6,"[0, 8, 1, 5, 4, 6, 10, 35, 11, 12, 2, 14]",128,True,completed,NEBULA-3186,12,77.9331,4.8002,1.8749,5.2717
Qwen3-4B,code_ctx4096_d50_s0,code,4096,4064,50,0,AURORA-7749,T-BGMP Top1,tbgmp,2,2,6,[0],128,True,completed,AURORA-7749,1,83.483,2.1337,4.2179,4.6041
Qwen3-4B,code_ctx4096_d50_s0,code,4096,4064,50,0,AURORA-7749,T-BGMP Top2,tbgmp,2,2,6,"[0, 8]",128,True,completed,AURORA-7749,2,82.9786,2.3876,3.7695,4.7681
