model,case_id,domain,context_length,actual_context_length,depth,seed,answer,policy,policy_type,key_bits,value_bits,protected_key_bits,protected_layers,residual_window,found,status,response_excerpt,topk_k,kv_saving,runtime_s,tok_per_s,peak_gpu_gb
Qwen2.5-3B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,FP16 baseline,fp16,,,,[],,True,completed,AURORA-7749,,0.0,0.4304,20.9106,6.2136
Qwen2.5-3B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,Uniform K2/V2 rw128,uniform,2.0,2.0,,[],128.0,False,completed,Phoenix,,84.0022,0.9651,2.0723,6.236
Qwen2.5-3B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,Uniform K4/V2 rw128,uniform,4.0,2.0,,[],128.0,True,completed,AURORA-7749,,77.9479,4.5548,1.9759,6.2445
Qwen2.5-3B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,Uniform K6/V2 rw128,uniform,6.0,2.0,,[],128.0,True,completed,AURORA-7749,,65.8395,12.2322,0.7358,6.5157
Qwen2.5-3B,math_ctx4096_d10_s0,math,4096,4086,10,0,AURORA-7749,Uniform K6/V4 rw128,uniform,6.0,4.0,,[],128.0,True,completed,AURORA-7749,,59.7853,15.1704,0.5933,6.524
Qwen2.5-3B,math_ctx4096_d10_s1,math,4096,4085,10,1,NEBULA-3186,FP16 baseline,fp16,,,,[],,True,completed,NEBULA-3186,,0.0,0.3621,24.8559,6.2135
Qwen2.5-3B,math_ctx4096_d10_s1,math,4096,4085,10,1,NEBULA-3186,Uniform K2/V2 rw128,uniform,2.0,2.0,,[],128.0,False,completed,What is just: <? What is the difference between justification of What is 2. This,,84.0015,5.0062,4.794,6.236
Qwen2.5-3B,math_ctx4096_d10_s1,math,4096,4085,10,1,NEBULA-3186,Uniform K4/V2 rw128,uniform,4.0,2.0,,[],128.0,False,completed,Project M³,,77.9473,3.9154,1.0216,6.2445
Qwen2.5-3B,math_ctx4096_d10_s1,math,4096,4085,10,1,NEBULA-3186,Uniform K6/V2 rw128,uniform,6.0,2.0,,[],128.0,True,completed,NEBULA-3186,,65.839,12.1809,0.7389,6.5155
Qwen2.5-3B,math_ctx4096_d10_s1,math,4096,4085,10,1,NEBULA-3186,Uniform K6/V4 rw128,uniform,6.0,4.0,,[],128.0,True,completed,NEBULA-3186,,59.7848,15.1104,0.5956,6.5237
Qwen2.5-3B,math_ctx4096_d50_s0,math,4096,4085,50,0,AURORA-7749,FP16 baseline,fp16,,,,[],,True,completed,AURORA-7749,,0.0,0.3547,25.3725,6.2135
